cell,arc,meas,slew_idx,load_idx,slew,load,v0,sigma_local,sigma_local_rel,sigma_vth,sigma_u0
INV_X1,A_f_ZN_r,delay,2,2,8.000000e-11,1.200000e-14,1.006885e-10,4.933171e-12,4.899439e-02,3.610921e-12,3.361165e-12
INV_X1,A_f_ZN_r,trans,2,2,8.000000e-11,1.200000e-14,9.181450e-11,5.539395e-12,6.033247e-02,3.331796e-12,4.425386e-12
NAND2_X1,A_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,1.674115e-11,6.347591e-13,3.791610e-02,5.517770e-13,3.137854e-13
NAND2_X1,A_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,1.379447e-11,4.963203e-13,3.597966e-02,3.714100e-13,3.292240e-13
NAND2_X1,A_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,2.582710e-11,9.945432e-13,3.850774e-02,8.481139e-13,5.194411e-13
NAND2_X1,A_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,2.556354e-11,9.351754e-13,3.658239e-02,7.115574e-13,6.068271e-13
NAND2_X1,A_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,4.971340e-11,1.941761e-12,3.905911e-02,1.625188e-12,1.062638e-12
NAND2_X1,A_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,5.688010e-11,2.109783e-12,3.709176e-02,1.624019e-12,1.346754e-12
NAND2_X1,A_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,2.374415e-11,9.246398e-13,3.894179e-02,8.472991e-13,3.701931e-13
NAND2_X1,A_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,1.577633e-11,2.810595e-13,1.781527e-02,1.533030e-13,2.355687e-13
NAND2_X1,A_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,3.291998e-11,1.214147e-12,3.688176e-02,1.084167e-12,5.465658e-13
NAND2_X1,A_r_ZN_f,trans,1,1,3.000000e-11,4.000000e-15,2.601027e-11,7.947145e-13,3.055387e-02,5.752834e-13,5.482883e-13
