cell,corner,npts,r_mean,r_min,r_max
INV_X1,PVT_p3s,18,1.069407,0.996606,1.162836
NAND2_X1,PVT_p3s,36,1.069695,0.997204,1.158485
NOR2_X1,PVT_p3s,36,1.075765,0.970285,1.175586
