cell,corner,npts,r_mean,r_min,r_max
INV_X1,NVT_m3s,18,0.944222,0.815369,1.011299
NAND2_X1,NVT_m3s,36,0.936997,0.804610,1.012254
NOR2_X1,NVT_m3s,36,0.948119,0.856606,1.008133
