cell,arc,meas,slew_idx,load_idx,inst,group,param,s1,sigma_mm,c_local,contrib_frac,share_global,c_global_1sig
INV_X1,A_r_ZN_f,delay,1,1,M2,P,vth,5.780000e-13,1.338877e-02,7.738709e-15,1.851457e-05,1.000000e+00,8.670000e-15
INV_X1,A_r_ZN_f,delay,1,1,M2,P,u0,-4.035000e-13,6.085806e-02,-2.455623e-14,1.864231e-04,1.000000e+00,-1.210500e-14
INV_X1,A_r_ZN_f,trans,1,1,M1,N,vth,4.551750e-11,2.108185e-02,9.595931e-13,5.868570e-01,1.000000e+00,6.827625e-13
INV_X1,A_r_ZN_f,trans,1,1,M1,N,u0,-7.638000e-12,1.054093e-01,-8.051162e-13,4.131191e-01,1.000000e+00,-2.291400e-13
INV_X1,A_r_ZN_f,trans,1,1,M2,P,vth,-1.375000e-13,1.338877e-02,-1.840956e-15,2.159956e-06,1.000000e+00,-2.062500e-15
INV_X1,A_r_ZN_f,trans,1,1,M2,P,u0,9.600000e-14,6.085806e-02,5.842374e-15,2.175388e-05,1.000000e+00,2.880000e-15
INV_X1,A_r_ZN_f,delay,1,2,M1,N,vth,1.444260e-10,2.108185e-02,3.044767e-12,7.367585e-01,1.000000e+00,2.166390e-12
INV_X1,A_r_ZN_f,delay,1,2,M1,N,u0,-1.726525e-11,1.054093e-01,-1.819918e-12,2.632210e-01,1.000000e+00,-5.179575e-13
INV_X1,A_r_ZN_f,delay,1,2,M2,P,vth,-4.660000e-13,1.338877e-02,-6.239167e-15,3.093642e-06,1.000000e+00,-6.990000e-15
INV_X1,A_r_ZN_f,delay,1,2,M2,P,u0,-2.435000e-13,6.085806e-02,-1.481894e-14,1.745224e-05,1.000000e+00,-7.305000e-15
INV_X1,A_r_ZN_f,trans,1,2,M1,N,vth,1.399920e-10,2.108185e-02,2.95129e-12,6.291689e-01,1.000000e+00,2.099880e-12
INV_X1,A_r_ZN_f,trans,1,2,M1,N,u0,-2.149500e-11,1.054093e-01,-2.265773e-12,3.708311e-01,1.000000e+00,-6.448500e-13
INV_X1,A_r_ZN_f,trans,1,2,M2,P,vth,-3.000000e-15,1.338877e-02,-4.016631e-17,1.165379e-10,1.000000e+00,-4.500000e-17
INV_X1,A_r_ZN_f,trans,1,2,M2,P,u0,-5.000000e-16,6.085806e-02,-3.042903e-17,6.688359e-11,1.000000e+00,-1.500000e-17
INV_X1,A_r_ZN_f,delay,2,0,M1,N,vth,1.407660e-10,2.108185e-02,2.967608e-12,8.833866e-01,1.000000e+00,2.111490e-12
INV_X1,A_r_ZN_f,delay,2,0,M1,N,u0,-1.021325e-11,1.054093e-01,-1.076572e-12,1.162582e-01,1.000000e+00,-3.063975e-13
INV_X1,A_r_ZN_f,delay,2,0,M2,P,vth,-4.351500e-12,1.338877e-02,-5.826123e-14,3.404844e-04,1.000000e+00,-6.527250e-14
INV_X1,A_r_ZN_f,delay,2,0,M2,P,u0,-1.987500e-13,6.085806e-02,-1.209554e-14,1.467535e-05,1.000000e+00,-5.962500e-15
INV_X1,A_r_ZN_f,trans,2,0,M1,N,vth,6.228500e-12,2.108185e-02,1.313083e-13,1.398097e-01,1.000000e+00,9.342750e-14
INV_X1,A_r_ZN_f,trans,2,0,M1,N,u0,-3.065500e-12,1.054093e-01,-3.231322e-13,8.466688e-01,1.000000e+00,-9.196500e-14
INV_X1,A_r_ZN_f,trans,2,0,M2,P,vth,2.849500e-12,1.338877e-02,3.81513e-14,1.180244e-02,1.000000e+00,4.274250e-14
INV_X1,A_r_ZN_f,trans,2,0,M2,P,u0,2.392500e-13,6.085806e-02,1.456029e-14,1.719068e-03,1.000000e+00,7.177500e-15
INV_X1,A_r_ZN_f,delay,2,1,M1,N,vth,1.475705e-10,2.108185e-02,3.111059e-12,8.474580e-01,1.000000e+00,2.213557e-12
INV_X1,A_r_ZN_f,delay,2,1,M1,N,u0,-1.251900e-11,1.054093e-01,-1.319619e-12,1.524750e-01,1.000000e+00,-3.755700e-13
INV_X1,A_r_ZN_f,delay,2,1,M2,P,vth,-7.665000e-13,1.338877e-02,-1.026249e-14,9.221622e-06,1.000000e+00,-1.149750e-14
INV_X1,A_r_ZN_f,delay,2,1,M2,P,u0,-4.220000e-13,6.085806e-02,-2.56821e-14,5.775143e-05,1.000000e+00,-1.266000e-14
INV_X1,A_r_ZN_f,trans,2,1,M1,N,vth,5.969500e-12,2.108185e-02,1.258481e-13,5.587916e-02,1.000000e+00,8.954250e-14
INV_X1,A_r_ZN_f,trans,2,1,M1,N,u0,-4.902250e-12,1.054093e-01,-5.167427e-13,9.421180e-01,1.000000e+00,-1.470675e-13
INV_X1,A_r_ZN_f,trans,2,1,M2,P,vth,5.440000e-13,1.338877e-02,7.283491e-15,1.871698e-04,1.000000e+00,8.160000e-15
INV_X1,A_r_ZN_f,trans,2,1,M2,P,u0,3.727500e-13,6.085806e-02,2.268484e-14,1.815633e-03,1.000000e+00,1.118250e-14
INV_X1,A_r_ZN_f,delay,2,2,M1,N,vth,1.842805e-10,2.108185e-02,3.884974e-12,7.910104e-01,1.000000e+00,2.764207e-12
INV_X1,A_r_ZN_f,delay,2,2,M1,N,u0,-1.894325e-11,1.054093e-01,-1.996795e-12,2.089647e-01,1.000000e+00,-5.682975e-13
INV_X1,A_r_ZN_f,delay,2,2,M2,P,vth,-1.885000e-13,1.338877e-02,-2.523783e-15,3.338183e-07,1.000000e+00,-2.827500e-15
INV_X1,A_r_ZN_f,delay,2,2,M2,P,u0,-3.557500e-13,6.085806e-02,-2.165025e-14,2.456586e-05,1.000000e+00,-1.067250e-14
INV_X1,A_r_ZN_f,trans,2,2,M1,N,vth,1.053815e-10,2.108185e-02,2.221637e-12,5.648978e-01,1.000000e+00,1.580722e-12
INV_X1,A_r_ZN_f,trans,2,2,M1,N,u0,-1.849700e-11,1.054093e-01,-1.949756e-12,4.350950e-01,1.000000e+00,-5.549100e-13
INV_X1,A_r_ZN_f,trans,2,2,M2,P,vth,6.450000e-14,1.338877e-02,8.635757e-16,8.535411e-08,1.000000e+00,9.675000e-16
INV_X1,A_r_ZN_f,trans,2,2,M2,P,u0,1.297500e-13,6.085806e-02,7.896333e-15,7.136325e-06,1.000000e+00,3.892500e-15
INV_X1,A_f_ZN_r,delay,0,0,M1,N,vth,1.856500e-12,2.108185e-02,3.913845e-14,1.645852e-03,1.000000e+00,2.784750e-14
INV_X1,A_f_ZN_r,delay,0,0,M1,N,u0,-2.687500e-13,1.054093e-01,-2.832875e-14,8.622600e-04,1.000000e+00,-8.062500e-15
INV_X1,A_f_ZN_r,delay,0,0,M2,P,vth,5.023050e-11,1.338877e-02,6.725246e-13,4.859592e-01,1.000000e+00,7.534575e-13
INV_X1,A_f_ZN_r,delay,0,0,M2,P,u0,-1.133775e-11,6.085806e-02,-6.899935e-13,5.115327e-01,1.000000e+00,-3.401325e-13
INV_X1,A_f_ZN_r,trans,0,0,M1,N,vth,5.500000e-15,2.108185e-02,1.159502e-16,1.251227e-08,1.000000e+00,8.250000e-17
INV_X1,A_f_ZN_r,trans,0,0,M1,N,u0,-1.000000e-15,1.054093e-01,-1.054093e-16,1.034073e-08,1.000000e+00,-3.000000e-17
INV_X1,A_f_ZN_r,trans,0,0,M2,P,vth,4.736150e-11,1.338877e-02,6.341122e-13,3.742187e-01,1.000000e+00,7.104225e-13
INV_X1,A_f_ZN_r,trans,0,0,M2,P,u0,-1.347400e-11,6.085806e-02,-8.200015e-13,6.257813e-01,1.000000e+00,-4.042200e-13
INV_X1,A_f_ZN_r,delay,0,1,M1,N,vth,1.033500e-12,2.108185e-02,2.178809e-14,1.266512e-04,1.000000e+00,1.550250e-14
INV_X1,A_f_ZN_r,delay,0,1,M1,N,u0,-2.065000e-13,1.054093e-01,-2.176702e-14,1.264064e-04,1.000000e+00,-6.195000e-15
INV_X1,A_f_ZN_r,delay,0,1,M2,P,vth,9.810950e-11,1.338877e-02,1.313566e-12,4.603355e-01,1.000000e+00,1.471643e-12
INV_X1,A_f_ZN_r,delay,0,1,M2,P,u0,-2.336450e-11,6.085806e-02,-1.421918e-12,5.394115e-01,1.000000e+00,-7.009350e-13
INV_X1,A_f_ZN_r,trans,0,1,M1,N,vth,-5.000000e-16,2.108185e-02,-1.054093e-17,1.995287e-11,1.000000e+00,-7.500000e-18
INV_X1,A_f_ZN_r,trans,0,1,M1,N,u0,-2.500000e-16,1.054093e-01,-2.635233e-17,1.247056e-10,1.000000e+00,-7.500000e-18
INV_X1,A_f_ZN_r,trans,0,1,M2,P,vth,1.082630e-10,1.338877e-02,1.449508e-12,3.773022e-01,1.000000e+00,1.623945e-12
INV_X1,A_f_ZN_r,trans,0,1,M2,P,u0,-3.059825e-11,6.085806e-02,-1.86215e-12,6.226978e-01,1.000000e+00,-9.179475e-13
INV_X1,A_f_ZN_r,delay,0,2,M1,N,vth,1.210000e-13,2.108185e-02,2.550904e-15,3.249022e-07,1.000000e+00,1.815000e-15
INV_X1,A_f_ZN_r,delay,0,2,M1,N,u0,-1.085000e-13,1.054093e-01,-1.143691e-14,6.531032e-06,1.000000e+00,-3.255000e-15
INV_X1,A_f_ZN_r,delay,0,2,M2,P,vth,2.229600e-10,1.338877e-02,2.98516e-12,4.449383e-01,1.000000e+00,3.344400e-12
INV_X1,A_f_ZN_r,delay,0,2,M2,P,u0,-5.478575e-11,6.085806e-02,-3.334154e-12,5.550549e-01,1.000000e+00,-1.643573e-12
INV_X1,A_f_ZN_r,trans,0,2,M1,N,vth,-6.500000e-15,2.108185e-02,-1.37032e-16,5.414513e-10,1.000000e+00,-9.750000e-17
INV_X1,A_f_ZN_r,trans,0,2,M1,N,u0,2.500000e-16,1.054093e-01,2.635233e-17,2.002411e-11,1.000000e+00,7.500000e-18
INV_X1,A_f_ZN_r,trans,0,2,M2,P,vth,2.706450e-10,1.338877e-02,3.623604e-12,3.786140e-01,1.000000e+00,4.059675e-12
INV_X1,A_f_ZN_r,trans,0,2,M2,P,u0,-7.627900e-11,6.085806e-02,-4.642192e-12,6.213860e-01,1.000000e+00,-2.288370e-12
INV_X1,A_f_ZN_r,delay,1,0,M1,N,vth,7.075000e-13,2.108185e-02,1.491541e-14,1.924278e-04,1.000000e+00,1.061250e-14
