cell,corner,npts,r_mean,r_min,r_max
INV_X1,SSG,18,1.179960,1.135613,1.244576
NAND2_X1,SSG,36,1.194395,1.152937,1.244854
NOR2_X1,SSG,36,1.188900,1.120634,1.272415
