cell,corner,npts,r_mean,r_min,r_max
INV_X1,PVT_m3s,18,0.940432,0.841798,1.008307
NAND2_X1,PVT_m3s,36,0.941449,0.868251,1.006721
NOR2_X1,PVT_m3s,36,0.935164,0.840977,1.026907
