cell,corner,npts,r_mean,r_min,r_max
INV_X1,NU0_m3s,18,1.013250,0.999266,1.030705
NAND2_X1,NU0_m3s,36,1.016810,0.998925,1.039820
NOR2_X1,NU0_m3s,36,1.013759,0.999612,1.033154
