cell,corner,npts,r_mean,r_min,r_max
INV_X1,SFG,18,0.996098,0.802215,1.233966
NAND2_X1,SFG,36,1.009170,0.812649,1.241500
NOR2_X1,SFG,36,0.987073,0.797706,1.209219
