cell,arc,corner,npts,r_mean,r_min,r_max
INV_X1,A_r_ZN_f,NVT_p3s,9,1.124519,1.109659,1.189425
INV_X1,A_f_ZN_r,NVT_p3s,9,1.000300,0.993758,1.004607
NAND2_X1,A_r_ZN_f,NVT_p3s,9,1.139206,1.122639,1.194037
NAND2_X1,A_f_ZN_r,NVT_p3s,9,1.000319,0.994999,1.003917
NAND2_X1,B_r_ZN_f,NVT_p3s,9,1.151090,1.134632,1.200715
NAND2_X1,B_f_ZN_r,NVT_p3s,9,0.992938,0.988453,0.996610
NOR2_X1,A_r_ZN_f,NVT_p3s,9,1.121241,1.110866,1.131867
NOR2_X1,A_f_ZN_r,NVT_p3s,9,1.000408,0.999816,1.000966
NOR2_X1,B_r_ZN_f,NVT_p3s,9,1.117114,1.104040,1.147410
NOR2_X1,B_f_ZN_r,NVT_p3s,9,1.001088,0.996166,1.004895
