cell,corner,npts,r_mean,r_min,r_max
INV_X1,PU0_m3s,18,1.029106,1.000175,1.075695
NAND2_X1,PU0_m3s,36,1.030550,1.000132,1.076762
NOR2_X1,PU0_m3s,36,1.032976,0.991842,1.081918
