cell,corner,npts,r_mean,r_min,r_max
INV_X1,FSG,18,1.036828,0.792352,1.244046
NAND2_X1,FSG,36,1.029382,0.785009,1.251701
NOR2_X1,FSG,36,1.052434,0.833967,1.271248
