cell,corner,npts,r_mean,r_min,r_max
INV_X1,NVT_p3s,18,1.062410,0.993758,1.189425
NAND2_X1,NVT_p3s,36,1.070888,0.988453,1.200715
NOR2_X1,NVT_p3s,36,1.059963,0.996166,1.147410
