cell,corner,npts,r_mean,r_min,r_max
INV_X1,NVT_p1s,18,1.020062,0.997364,1.063142
NAND2_X1,NVT_p1s,36,1.022742,0.996204,1.066949
NOR2_X1,NVT_p1s,36,1.019030,0.998248,1.048913
