cell,corner,npts,r_mean,r_min,r_max
INV_X1,FFG,18,0.852999,0.800801,0.886246
NAND2_X1,FFG,36,0.843143,0.780456,0.873378
NOR2_X1,FFG,36,0.848372,0.796975,0.897386
